Response,Attempt,emotion terms,emotion terms2,Zone Type,Participant External Session ID,Reaction Time,Task Name,Participant Private ID
5.0,1.0,SURPRISED,ALARMED,response_keyboard,61dbbf1471e0e3698a0fe54b,105.59999999403954,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,TIRED,EXCITED,response_keyboard,61dbbf1471e0e3698a0fe54b,506.2000000178814,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,ALARMED,BORED,response_keyboard,61dbbf1471e0e3698a0fe54b,398.09999999403954,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
3.0,1.0,HAPPY,ASTONISHED,response_keyboard,61dbbf1471e0e3698a0fe54b,1430.7000000178814,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,SERENE,SURPRISED,response_keyboard,61dbbf1471e0e3698a0fe54b,460.90000000596046,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
3.0,1.0,DISGUSTED,DEPRESSED,response_keyboard,61dbbf1471e0e3698a0fe54b,523.0,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,HAPPY,FRUSTRATED,response_keyboard,61dbbf1471e0e3698a0fe54b,413.6999999880791,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,ANGRY,SATISFIED,response_keyboard,61dbbf1471e0e3698a0fe54b,428.3000000119209,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,STRESSED,SERENE,response_keyboard,61dbbf1471e0e3698a0fe54b,315.5,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
3.0,1.0,DEPRESSED,FRUSTRATED,response_keyboard,61dbbf1471e0e3698a0fe54b,574.6000000238419,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
5.0,1.0,AFRAID,ALARMED,response_keyboard,61dbbf1471e0e3698a0fe54b,3783.400000005961,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
2.0,1.0,SLEEPY,FRUSTRATED,response_keyboard,61dbbf1471e0e3698a0fe54b,583.7999999821186,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,SERENE,AFRAID,response_keyboard,61dbbf1471e0e3698a0fe54b,608.4000000059605,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
2.0,1.0,CALM,SLEEPY,response_keyboard,61dbbf1471e0e3698a0fe54b,560.1000000238419,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,ANGRY,HAPPY,response_keyboard,61dbbf1471e0e3698a0fe54b,424.2000000178814,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,HAPPY,BORED,response_keyboard,61dbbf1471e0e3698a0fe54b,559.4000000059605,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,FRUSTRATED,CALM,response_keyboard,61dbbf1471e0e3698a0fe54b,401.40000000596046,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,FRUSTRATED,SERENE,response_keyboard,61dbbf1471e0e3698a0fe54b,635.2999999821186,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
2.0,1.0,SLEEPY,DEPRESSED,response_keyboard,61dbbf1471e0e3698a0fe54b,445.7000000178814,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
5.0,1.0,HAPPY,EXCITED,response_keyboard,61dbbf1471e0e3698a0fe54b,2707.9000000059605,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,EXCITED,FRUSTRATED,response_keyboard,61dbbf1471e0e3698a0fe54b,703.5,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,DISGUSTED,CALM,response_keyboard,61dbbf1471e0e3698a0fe54b,699.0999999940395,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
5.0,1.0,TIRED,BORED,response_keyboard,61dbbf1471e0e3698a0fe54b,509.59999999403954,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
3.0,1.0,STRESSED,DISGUSTED,response_keyboard,61dbbf1471e0e3698a0fe54b,513.5,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,DISGUSTED,BORED,response_keyboard,61dbbf1471e0e3698a0fe54b,493.90000000596046,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,SURPRISED,CALM,response_keyboard,61dbbf1471e0e3698a0fe54b,457.8000000119209,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,TIRED,SURPRISED,response_keyboard,61dbbf1471e0e3698a0fe54b,544.3000000119209,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
2.0,1.0,EXCITED,ANGRY,response_keyboard,61dbbf1471e0e3698a0fe54b,347.40000000596046,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
4.0,1.0,SERENE,HAPPY,response_keyboard,61dbbf1471e0e3698a0fe54b,532.8000000119209,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,AFRAID,CALM,response_keyboard,61dbbf1471e0e3698a0fe54b,591.3000000119209,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,ALARMED,SATISFIED,response_keyboard,61dbbf1471e0e3698a0fe54b,327.5,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,STRESSED,CALM,response_keyboard,61dbbf1471e0e3698a0fe54b,394.40000000596046,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
2.0,1.0,SURPRISED,SATISFIED,response_keyboard,61dbbf1471e0e3698a0fe54b,506.2000000178814,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
4.0,1.0,TIRED,CALM,response_keyboard,61dbbf1471e0e3698a0fe54b,365.7000000178814,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
4.0,1.0,ASTONISHED,ALARMED,response_keyboard,61dbbf1471e0e3698a0fe54b,350.59999999403954,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
2.0,1.0,CALM,DEPRESSED,response_keyboard,61dbbf1471e0e3698a0fe54b,760.9000000059605,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,ALARMED,CALM,response_keyboard,61dbbf1471e0e3698a0fe54b,395.10000002384186,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,ANGRY,SERENE,response_keyboard,61dbbf1471e0e3698a0fe54b,770.5999999940395,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
3.0,1.0,STRESSED,EXCITED,response_keyboard,61dbbf1471e0e3698a0fe54b,650.7000000178814,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,STRESSED,SATISFIED,response_keyboard,61dbbf1471e0e3698a0fe54b,448.8000000119209,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,SLEEPY,EXCITED,response_keyboard,61dbbf1471e0e3698a0fe54b,1910.5999999940395,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
5.0,1.0,TIRED,FRUSTRATED,response_keyboard,61dbbf1471e0e3698a0fe54b,402.2000000178814,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,HAPPY,STRESSED,response_keyboard,61dbbf1471e0e3698a0fe54b,1384.800000011921,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,BORED,SATISFIED,response_keyboard,61dbbf1471e0e3698a0fe54b,577.3000000119209,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
2.0,1.0,EXCITED,SATISFIED,response_keyboard,61dbbf1471e0e3698a0fe54b,770.5999999940395,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
3.0,1.0,AFRAID,ASTONISHED,response_keyboard,61dbbf1471e0e3698a0fe54b,482.3000000119209,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,SLEEPY,SURPRISED,response_keyboard,61dbbf1471e0e3698a0fe54b,471.2000000178814,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,ASTONISHED,BORED,response_keyboard,61dbbf1471e0e3698a0fe54b,524.0999999940395,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
5.0,1.0,BORED,SERENE,response_keyboard,61dbbf1471e0e3698a0fe54b,462.09999999403954,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,CALM,ANGRY,response_keyboard,61dbbf1471e0e3698a0fe54b,475.8000000119209,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
5.0,1.0,ANGRY,STRESSED,response_keyboard,61dbbf1471e0e3698a0fe54b,561.0,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
4.0,1.0,ALARMED,FRUSTRATED,response_keyboard,61dbbf1471e0e3698a0fe54b,682.3000000119209,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
2.0,1.0,TIRED,ALARMED,response_keyboard,61dbbf1471e0e3698a0fe54b,550.0,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,SLEEPY,DISGUSTED,response_keyboard,61dbbf1471e0e3698a0fe54b,1705.0,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
3.0,1.0,ASTONISHED,STRESSED,response_keyboard,61dbbf1471e0e3698a0fe54b,839.6999999880791,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,BORED,AFRAID,response_keyboard,61dbbf1471e0e3698a0fe54b,333.09999999403954,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
2.0,1.0,ASTONISHED,DISGUSTED,response_keyboard,61dbbf1471e0e3698a0fe54b,768.5999999940395,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
4.0,1.0,FRUSTRATED,DISGUSTED,response_keyboard,61dbbf1471e0e3698a0fe54b,472.8000000119209,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
4.0,1.0,EXCITED,ALARMED,response_keyboard,61dbbf1471e0e3698a0fe54b,493.5,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,ALARMED,DEPRESSED,response_keyboard,61dbbf1471e0e3698a0fe54b,553.5999999940395,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
4.0,1.0,FRUSTRATED,AFRAID,response_keyboard,61dbbf1471e0e3698a0fe54b,1058.800000011921,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
1.0,1.0,ASTONISHED,SLEEPY,response_keyboard,61dbbf1471e0e3698a0fe54b,720.2000000178814,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
2.0,1.0,SLEEPY,AFRAID,response_keyboard,61dbbf1471e0e3698a0fe54b,811.4000000059605,2_2_ Emotion Testing Phase_patch_ENGLISH,5444190.0
