Subject ID,Emotion,Color
4549084.0,EXCITED,"['rgb(153, 255, 0)']"
4549084.0,UNCERTAIN,"['rgb(204, 213, 240)']"
4549084.0,SATISFIED,"['rgb(255, 139, 135)']"
4549084.0,PITY,"['rgb(208, 212, 171)']"
4549084.0,ANGRY,"['rgb(196, 0, 0)']"
4549084.0,DEPRESSED,"['rgb(73, 84, 87)']"
4549084.0,DISGUSTED,"['rgb(131, 189, 94)']"
4549084.0,FRUSTRATED,"['rgb(125, 20, 16)']"
4549084.0,JEALOUS,"['rgb(0, 102, 56)']"
4549084.0,BORED,"['rgb(148, 153, 150)']"
4549084.0,AFRAID,"['rgb(0, 10, 77)']"
4549084.0,SURPRISED,"['rgb(248, 255, 56)']"
4549084.0,STRESSED,"['rgb(184, 53, 46)']"
4549084.0,TIRED,"['rgb(135, 146, 153)']"
4549084.0,CURIOUS,"['rgb(133, 255, 117)']"
4549084.0,SLEEPY,"['rgb(212, 218, 255)']"
4549084.0,SERENE,"['rgb(149, 245, 227)']"
4549084.0,ALARMED,"['rgb(237, 8, 0)']"
4549084.0,GUILTY,"['rgb(94, 168, 109)']"
4549084.0,GENEROUS,"['rgb(245, 195, 135)']"
4549084.0,ASTONISHED,"['rgb(255, 196, 33)']"
4549084.0,SAD,"['rgb(54, 88, 122)']"
4549084.0,CALM,"['rgb(191, 227, 255)']"
4549084.0,INTERESTED,"['rgb(250, 255, 209)']"
4549084.0,SHY,"['rgb(207, 222, 255)']"
4549084.0,HAPPY,"['rgb(255, 255, 0)']"
4549084.0,EMPATHETIC,"['rgb(252, 164, 219)']"
4549085.0,EXCITED,"['rgb(255, 133, 245)']"
4549085.0,UNCERTAIN,"['rgb(255, 230, 204)']"
4549085.0,SATISFIED,"['rgb(180, 255, 173)']"
4549085.0,PITY,"['rgb(230, 255, 251)']"
4549085.0,ANGRY,"['rgb(201, 17, 0)']"
4549085.0,DEPRESSED,"['rgb(14, 0, 41)']"
4549085.0,DISGUSTED,"['rgb(217, 189, 132)']"
4549085.0,FRUSTRATED,"['rgb(255, 116, 61)']"
4549085.0,JEALOUS,"['rgb(255, 25, 64)']"
4549085.0,BORED,"['rgb(240, 215, 175)']"
