Response,Emotions,Zone Type,Participant External Session ID,Reaction Time,Task Name,Participant Private ID
BLUE,DEPRESSED,response_markdown,5f3165920788730e494db5bc,698.2049999060109,3_ Emotion & Color Association Phase_ENGLISH,1835560.0
RED,ALARMED,response_markdown,5f3165920788730e494db5bc,565.5700000934303,3_ Emotion & Color Association Phase_ENGLISH,1835560.0
ORANGE,DISGUSTED,response_markdown,5f3165920788730e494db5bc,2205.584999988787,3_ Emotion & Color Association Phase_ENGLISH,1835560.0
PURPLE,SATISFIED,response_markdown,5f3165920788730e494db5bc,2674.200000008568,3_ Emotion & Color Association Phase_ENGLISH,1835560.0
BLUE,CALM,response_markdown,5f3165920788730e494db5bc,903.2449999358504,3_ Emotion & Color Association Phase_ENGLISH,1835560.0
GREEN,HAPPY,response_markdown,5f3165920788730e494db5bc,966.2849999731408,3_ Emotion & Color Association Phase_ENGLISH,1835560.0
RED,BORED,response_markdown,5f3165920788730e494db5bc,4210.785000002943,3_ Emotion & Color Association Phase_ENGLISH,1835560.0
RED,ANGRY,response_markdown,5f3165920788730e494db5bc,565.4699999140576,3_ Emotion & Color Association Phase_ENGLISH,1835560.0
YELLOW,SLEEPY,response_markdown,5f3165920788730e494db5bc,1347.8650000179186,3_ Emotion & Color Association Phase_ENGLISH,1835560.0
BLUE,TIRED,response_markdown,5f3165920788730e494db5bc,910.8150000683964,3_ Emotion & Color Association Phase_ENGLISH,1835560.0
GREEN,ASTONISHED,response_markdown,5f3165920788730e494db5bc,602.4399999296293,3_ Emotion & Color Association Phase_ENGLISH,1835560.0
ORANGE,AFRAID,response_markdown,5f3165920788730e494db5bc,5398.47000001464,3_ Emotion & Color Association Phase_ENGLISH,1835560.0
YELLOW,SURPRISED,response_markdown,5f3165920788730e494db5bc,811.6750000044703,3_ Emotion & Color Association Phase_ENGLISH,1835560.0
PURPLE,EXCITED,response_markdown,5f3165920788730e494db5bc,603.2600000035018,3_ Emotion & Color Association Phase_ENGLISH,1835560.0
BLUE,SERENE,response_markdown,5f3165920788730e494db5bc,721.445000031963,3_ Emotion & Color Association Phase_ENGLISH,1835560.0
BLUE,SAD,response_markdown,5f3165920788730e494db5bc,754.4849999248981,3_ Emotion & Color Association Phase_ENGLISH,1835560.0
RED,FRUSTRATED,response_markdown,5f3165920788730e494db5bc,737.0050000026822,3_ Emotion & Color Association Phase_ENGLISH,1835560.0
ORANGE,STRESSED,response_markdown,5f3165920788730e494db5bc,865.6200000550598,3_ Emotion & Color Association Phase_ENGLISH,1835560.0
BLUE,BORED,response_markdown,5f3165949312982cde65ac91,744.9000000488013,3_ Emotion & Color Association Phase_ENGLISH,1835561.0
PURPLE,SAD,response_markdown,5f3165949312982cde65ac91,2273.410000023432,3_ Emotion & Color Association Phase_ENGLISH,1835561.0
RED,STRESSED,response_markdown,5f3165949312982cde65ac91,4202.7550000930205,3_ Emotion & Color Association Phase_ENGLISH,1835561.0
GREEN,SATISFIED,response_markdown,5f3165949312982cde65ac91,1112.0499999960884,3_ Emotion & Color Association Phase_ENGLISH,1835561.0
RED,FRUSTRATED,response_markdown,5f3165949312982cde65ac91,465.2999999234453,3_ Emotion & Color Association Phase_ENGLISH,1835561.0
GREEN,SLEEPY,response_markdown,5f3165949312982cde65ac91,180.6499999947846,3_ Emotion & Color Association Phase_ENGLISH,1835561.0
RED,AFRAID,response_markdown,5f3165949312982cde65ac91,621.0499999579042,3_ Emotion & Color Association Phase_ENGLISH,1835561.0
ORANGE,ASTONISHED,response_markdown,5f3165949312982cde65ac91,1572.3400000715628,3_ Emotion & Color Association Phase_ENGLISH,1835561.0
BLUE,DEPRESSED,response_markdown,5f3165949312982cde65ac91,153.2850000075996,3_ Emotion & Color Association Phase_ENGLISH,1835561.0
YELLOW,TIRED,response_markdown,5f3165949312982cde65ac91,1969.2050000885504,3_ Emotion & Color Association Phase_ENGLISH,1835561.0
ORANGE,SURPRISED,response_markdown,5f3165949312982cde65ac91,1847.9150000493971,3_ Emotion & Color Association Phase_ENGLISH,1835561.0
YELLOW,HAPPY,response_markdown,5f3165949312982cde65ac91,359.9450000328943,3_ Emotion & Color Association Phase_ENGLISH,1835561.0
GREEN,SERENE,response_markdown,5f3165949312982cde65ac91,327.7150000212714,3_ Emotion & Color Association Phase_ENGLISH,1835561.0
ORANGE,ALARMED,response_markdown,5f3165949312982cde65ac91,588.370000012219,3_ Emotion & Color Association Phase_ENGLISH,1835561.0
GREEN,CALM,response_markdown,5f3165949312982cde65ac91,511.0500000882894,3_ Emotion & Color Association Phase_ENGLISH,1835561.0
BLUE,DISGUSTED,response_markdown,5f3165949312982cde65ac91,400.9150000056252,3_ Emotion & Color Association Phase_ENGLISH,1835561.0
ORANGE,EXCITED,response_markdown,5f3165949312982cde65ac91,2754.674999974668,3_ Emotion & Color Association Phase_ENGLISH,1835561.0
PURPLE,ANGRY,response_markdown,5f3165949312982cde65ac91,829.2950000613928,3_ Emotion & Color Association Phase_ENGLISH,1835561.0
BLUE,CALM,response_markdown,5f3164c6d0db5b0fb04f97c3,2940.0,3_ Emotion & Color Association Phase_ENGLISH,1835537.0
BLUE,TIRED,response_markdown,5f3164c6d0db5b0fb04f97c3,3564.0,3_ Emotion & Color Association Phase_ENGLISH,1835537.0
ORANGE,ASTONISHED,response_markdown,5f3164c6d0db5b0fb04f97c3,607.0,3_ Emotion & Color Association Phase_ENGLISH,1835537.0
BLUE,BORED,response_markdown,5f3164c6d0db5b0fb04f97c3,2562.0,3_ Emotion & Color Association Phase_ENGLISH,1835537.0
