,surprised,excited,serene,happy,satisfied,calm,tired,bored,depressed,sad,frustrated,afraid,angry,stressed,astonished,sleepy,alarmed,disgusted
surprised,0.0,1.040157401300599,1.6953904517730924,0.855104186523275,1.6570007955734578,0.6246477008962682,0.9949702959587747,0.4035147854727528,2.1996596779394886,1.2708681649625773,0.21494716558668636,0.9112599395722625,0.32569609545891387,2.434337410031355,1.196718408308999,1.5976698028410299,1.5477203338684138,0.7034349275868974
excited,1.0401574013005954,0.0,0.9201857878930724,1.497126512074611,1.4203564539211881,0.44170511928254436,1.9254220437155956,1.4390382822169476,1.1779579445501733,1.6313072496123837,1.0261059180454173,1.5893643989861834,1.2083821296424702,1.4540439709795285,0.8235506315405713,0.6537389697413674,0.6156579213544483,0.9067333457141252
serene,1.6953904517730924,0.9201857878930724,0.0,2.355630982399425,2.2967641983409393,1.2706049412050853,2.6814763457381123,2.0830282047468494,0.8466616047031411,2.543867207552201,1.5727035101692952,2.4426053438975117,1.9618395951282823,1.664393769774701,0.6123224054167298,1.2203499728890985,1.2210871007430475,1.802554904635041
happy,0.855104186523275,1.4971265120746085,2.355630982399425,0.0,1.2224572116441803,1.0872918550930109,0.6205686878983335,0.7819968441400434,2.6395067921474857,0.4940419391006973,1.0695802151062381,0.09481310510902162,0.5369603673462487,2.5663261412679064,1.9668253184263726,1.795086181259754,1.7438452453399964,0.6123187611380021
satisfied,1.6570007955734556,1.4203564539211881,2.2967641983409393,1.2224572116441774,0.0,1.3196478320895688,1.8394383948274415,1.8431807979038515,2.154541014814205,0.8642138992540626,1.8238656067737264,1.2875913442811044,1.4960750339090347,1.6767047038713279,2.218492853369464,1.196875048060688,1.1669631370100186,0.9536412110963878
calm,0.6246477008962682,0.44170511928254436,1.2706049412050853,1.0872918550930109,1.3196478320895688,0.0,1.4846630469539979,1.0119008378274907,1.619656952669934,1.3001029690966106,0.6640652588890738,1.1761875112190492,0.7667600350640915,1.811991279998503,0.9621935234694426,0.976251281098944,0.9272385183284783,0.5480084731317727
tired,0.9949702959587747,1.9254220437155936,2.6814763457381123,0.6205686878983335,1.8394383948274433,1.4846630469539979,0.0,0.6640855005112535,3.1019001142335085,1.0402306752413402,1.1625359962553767,0.5520829550893582,0.7256110774956414,3.138529096371232,2.1898751626367274,2.335536891755512,2.28329433179871,1.1488581363860677
bored,0.4035147854727528,1.4390382822169452,2.0830282047468494,0.7819968441400434,1.8431807979038535,1.0119008378274907,0.6640855005112535,0.0,2.602884865573394,1.2686205115149751,0.5178155429269313,0.7970399345559078,0.34960328035394156,2.8048581390809075,1.552972027298626,1.9696662174498474,1.9185193694641651,0.9269783676244865
depressed,2.1996596779394904,1.1779579445501733,0.8466616047031411,2.6395067921474844,2.154541014814205,1.619656952669934,3.1019001142335076,2.602884865573395,0.0,2.672881127233926,2.144622915655319,2.73389702858115,2.386314410663604,0.9437640299876421,1.3920527535744789,0.9620599597781005,0.998640061058305,2.0287545832027765
sad,1.2708681649625773,1.631307249612386,2.543867207552201,0.4940419391006973,0.8642138992540667,1.3001029690966106,1.0402306752413402,1.2686205115149751,2.6728811272339272,0.0,1.4827547336137867,0.5142436102391288,0.9836994677405074,2.4224135168980236,2.2519194762937516,1.7460274878061501,1.699755848362017,0.7520947408073986
frustrated,0.21494716558668636,1.0261059180454137,1.5727035101692952,1.0695802151062381,1.8238656067737284,0.6640652588890738,1.1625359962553767,0.5178155429269313,2.144622915655321,1.4827547336137867,0.0,1.1239655407696492,0.5367836115957936,2.4632253975643694,1.0353600848206577,1.6324718152517796,1.585031532250469,0.8776054288417542
afraid,0.9112599395722625,1.5893643989861812,2.4426053438975117,0.09481310510902162,1.287591344281107,1.1761875112190492,0.5520829550893582,0.7970399345559078,2.733897028581149,0.5142436102391288,1.1239655407696492,0.0,0.5873349644958423,2.657888702590905,2.043787367081669,1.8892937695676164,1.838114091004254,0.7070859370566991
