,surprised,excited,serene,happy,satisfied,calm,tired,bored,depressed,sad,frustrated,afraid,angry,stressed,astonished,sleepy,alarmed,disgusted
surprised,0.0,0.33102555910903486,0.6481996274273724,0.4029349967138268,0.430733333058149,0.6673149998998222,0.4724601685518979,0.4554743044613603,0.5126879251759807,0.4004791926438419,0.3636325209922533,0.36063582670493655,0.395745416458675,0.4877628316313736,0.16402745255071116,0.5618012891356109,0.27773566208125255,0.2928785545335144
excited,0.33102555910903486,0.0,0.6337089098040265,0.3968097451240088,0.46651643003813426,0.6326328631928936,0.4751146734105638,0.4482137469983687,0.5217301306161075,0.49899462476100664,0.38480711958464286,0.4372385533439651,0.4001072370722949,0.5383063206300692,0.3656577192160403,0.5610039413291064,0.3740133846642436,0.3767450450182698
serene,0.6481996274273724,0.6337089098040265,0.0,0.454938237971222,0.564685913469795,0.29540614957182787,0.6155004830942223,0.6017095846553541,0.6141524405044374,0.5020191268407354,0.6588606749916592,0.6545926842800885,0.5671973462478088,0.6692060742615938,0.5973935221176021,0.49092242784871987,0.6258539700779022,0.621811630857437
happy,0.4029349967138268,0.3968097451240088,0.454938237971222,0.0,0.34226241922391387,0.510118543805745,0.4189182011903785,0.46345401432801137,0.49783137126157273,0.29837928711979544,0.4446750151353498,0.4152622018419687,0.4172634791555344,0.5676450208315,0.4675270796513141,0.5215586654190074,0.5336999891040985,0.44678245532379546
satisfied,0.430733333058149,0.46651643003813426,0.564685913469795,0.34226241922391387,0.0,0.60719945926547,0.507621004561428,0.4808345076761381,0.5586763736370298,0.5417151033989323,0.4194610613667803,0.5458289667030981,0.4983044506463892,0.5017977562968744,0.44793519381489155,0.6535898074356191,0.4858855006420675,0.45128424169884207
calm,0.6673149998998222,0.6326328631928936,0.29540614957182787,0.510118543805745,0.60719945926547,0.0,0.6141226243191945,0.628864892363596,0.579400987411115,0.5795638483274639,0.5804476694148839,0.6471709604220044,0.4926819493778152,0.6390124744715686,0.649960361396888,0.5514472777547013,0.6244314364578372,0.6274666799981203
tired,0.4724601685518979,0.4751146734105638,0.6155004830942223,0.4189182011903785,0.507621004561428,0.6141226243191945,0.0,0.2921082826377541,0.4450333673438466,0.40666987498177254,0.3237369631641429,0.4405344001279168,0.38019543110831455,0.46556859610986767,0.5068697482541752,0.3711387443770324,0.4930034922407244,0.40050624031751947
bored,0.4554743044613603,0.4482137469983687,0.6017095846553541,0.46345401432801137,0.4808345076761381,0.628864892363596,0.2921082826377541,0.0,0.38913378126092624,0.45907032975145057,0.29871225713212746,0.495578967927897,0.38472597672785047,0.5582251392756782,0.49194409328594735,0.45755922179712605,0.48503139908700377,0.391916883017533
depressed,0.5126879251759807,0.5217301306161075,0.6141524405044374,0.49783137126157273,0.5586763736370298,0.579400987411115,0.4450333673438466,0.38913378126092624,0.0,0.4244797051283825,0.36429976024889776,0.5491412197439636,0.3934939268262396,0.5318421798108981,0.5550463150398786,0.49781449646356624,0.45407963002259044,0.4369226276608176
sad,0.4004791926438419,0.49899462476100664,0.5020191268407354,0.29837928711979544,0.5417151033989323,0.5795638483274639,0.40666987498177254,0.45907032975145057,0.4244797051283825,0.0,0.43604977310497084,0.4060623697801998,0.370487749451913,0.5830318626863022,0.4670278239789387,0.5267986386578745,0.49136265669943424,0.379931529955141
frustrated,0.3636325209922533,0.38480711958464286,0.6588606749916592,0.4446750151353498,0.4194610613667803,0.5804476694148839,0.3237369631641429,0.29871225713212746,0.36429976024889776,0.43604977310497084,0.0,0.4261972108944623,0.2155061530240412,0.44840014938396155,0.4072173342730179,0.5171741470884623,0.35483022618405546,0.29870248903364205
afraid,0.36063582670493655,0.4372385533439651,0.6545926842800885,0.4152622018419687,0.5458289667030981,0.6471709604220044,0.4405344001279168,0.495578967927897,0.5491412197439636,0.4060623697801998,0.4261972108944623,0.0,0.40413051327629357,0.5282572942754221,0.4258646882802879,0.5696173459179157,0.3691436302172686,0.4491365652030116
angry,0.395745416458675,0.4001072370722949,0.5671973462478088,0.4172634791555344,0.4983044506463892,0.4926819493778152,0.38019543110831455,0.38472597672785047,0.3934939268262396,0.370487749451913,0.2155061530240412,0.40413051327629357,0.0,0.5394152112240964,0.4143727830951134,0.5039559679982848,0.36735639474848747,0.28360157135406605
stressed,0.4877628316313736,0.5383063206300692,0.6692060742615938,0.5676450208315,0.5017977562968744,0.6390124744715686,0.46556859610986767,0.5582251392756782,0.5318421798108981,0.5830318626863022,0.44840014938396155,0.5282572942754221,0.5394152112240964,0.0,0.5632322750277774,0.6252367512920902,0.4513198153863701,0.5545304421868277
astonished,0.16402745255071116,0.3656577192160403,0.5973935221176021,0.4675270796513141,0.44793519381489155,0.649960361396888,0.5068697482541752,0.49194409328594735,0.5550463150398786,0.4670278239789387,0.4072173342730179,0.4258646882802879,0.4143727830951134,0.5632322750277774,0.0,0.5671719960088322,0.28634228452255417,0.2600632970089234
sleepy,0.5618012891356109,0.5610039413291064,0.49092242784871987,0.5215586654190074,0.6535898074356191,0.5514472777547013,0.3711387443770324,0.45755922179712605,0.49781449646356624,0.5267986386578745,0.5171741470884623,0.5696173459179157,0.5039559679982848,0.6252367512920902,0.5671719960088322,0.0,0.5069613075911419,0.5668000360992489
alarmed,0.27773566208125255,0.3740133846642436,0.6258539700779022,0.5336999891040985,0.4858855006420675,0.6244314364578372,0.4930034922407244,0.48503139908700377,0.45407963002259044,0.49136265669943424,0.35483022618405546,0.3691436302172686,0.36735639474848747,0.4513198153863701,0.28634228452255417,0.5069613075911419,0.0,0.30496565946596377
disgusted,0.2928785545335144,0.3767450450182698,0.621811630857437,0.44678245532379546,0.45128424169884207,0.6274666799981203,0.40050624031751947,0.391916883017533,0.4369226276608176,0.379931529955141,0.29870248903364205,0.4491365652030116,0.28360157135406605,0.5545304421868277,0.2600632970089234,0.5668000360992489,0.30496565946596377,0.0
