,sorpreso,entusiasta,sereno,allegro,soddisfatto,calmo,stanco,annoiato,depresso,triste,frustrato,spaventato,arrabbiato,stressato,stupito,assonnato,allarmato,disgustato
sorpreso,0.0,0.011046985047049096,0.11084395163046142,0.0444282110103901,0.025442332720148324,0.0964423418139215,0.06186446610369353,0.021121618717967763,0.059128457399829804,0.08743010893089498,0.02119309475197848,0.005685818854209623,0.016588528686681862,0.044342700280064866,0.038810582672412566,0.03965476186228269,0.020861132638122937,0.024078997671333518
entusiasta,0.011046985047049096,0.0,0.11802289436433915,0.033902588538817585,0.027201676678070438,0.10719751777006074,0.06402380874763906,0.03123731163320235,0.050605135386236816,0.07860638780570824,0.013345375277077793,0.011104033209992039,0.0059682161134265626,0.039344500961445136,0.03959163326801987,0.05029714390623884,0.016013148580920386,0.015027527414349803
sereno,0.11084395163046142,0.11802289436433915,0.0,0.13458620438371002,0.09328709496704989,0.0683081438040894,0.06705165804790274,0.10944955890556982,0.12781914479217915,0.14546910312183994,0.11482280005607366,0.10749452497402358,0.12363320289605481,0.10579670469961282,0.0862855213312129,0.1036022277978276,0.13169036587986446,0.11817027057812352
allegro,0.0444282110103901,0.033902588538817585,0.13458620438371002,0.0,0.043691533018503585,0.1369262862767754,0.07024494456743141,0.06513693076736836,0.023497510699922893,0.04785159051720444,0.025050317817836436,0.04190494764630798,0.030174243711302035,0.031208244122788276,0.04830068620080967,0.0840674646776716,0.040182623116329676,0.021320132384232197
soddisfatto,0.025442332720148324,0.027201676678070438,0.09328709496704989,0.043691533018503585,0.0,0.09496362165489064,0.036984819572950696,0.04080609953680096,0.04744887809861446,0.07461560608866868,0.02153865953315381,0.019898380828189496,0.03188163955383435,0.025862367606039275,0.01338103263780227,0.05411756727478809,0.04300491900496166,0.024966592831338293
calmo,0.0964423418139215,0.10719751777006074,0.0683081438040894,0.1369262862767754,0.09496362165489064,0.0,0.09488979883494689,0.0822849138031889,0.14193064455683632,0.1675694544585544,0.11201084762860955,0.09664833702601379,0.11298648918892959,0.11886334891950388,0.09759723072806632,0.06596736646893277,0.11410082186433772,0.11582377672941144
stanco,0.06186446610369354,0.06402380874763906,0.06705165804790274,0.07024494456743141,0.03698481957295069,0.09488979883494689,0.0,0.0727180264008871,0.06083966397904177,0.0794729699041549,0.055689997114355426,0.05657792862464802,0.06824348562997752,0.039699491268578704,0.024692866189573896,0.0797440367656754,0.07994304147510856,0.0581096393410273
annoiato,0.021121618717967763,0.03123731163320235,0.10944955890556983,0.06513693076736836,0.04080609953680096,0.0822849138031889,0.0727180264008871,0.0,0.0801395441247187,0.10847001560228778,0.042291730159864885,0.025370132298139884,0.03563028430155962,0.06383998548047753,0.05338689486254753,0.019429470172477745,0.03253566153288173,0.04518891933078256
depresso,0.059128457399829804,0.050605135386236816,0.12781914479217915,0.023497510699922893,0.04744887809861446,0.14193064455683632,0.06083966397904177,0.0801395441247187,0.0,0.028342592722003474,0.037982231230047424,0.054875217816686445,0.04891707096367398,0.023509558291783087,0.04527996815580625,0.09756238615304608,0.06104148245671605,0.035595658872741395
triste,0.08743010893089498,0.07860638780570824,0.14546910312183994,0.047851590517204445,0.07461560608866868,0.1675694544585544,0.0794729699041549,0.10847001560228778,0.028342592722003467,0.0,0.06625143465608187,0.08321780334595918,0.0764046773798859,0.049089895542153705,0.06997222457115741,0.1258610366182661,0.0877423855382628,0.06369238562597596
frustrato,0.02119309475197848,0.013345375277077793,0.11482280005607366,0.025050317817836436,0.02153865953315381,0.11201084762860955,0.055689997114355426,0.042291730159864885,0.037982231230047424,0.06625143465608187,0.0,0.01745164469228472,0.014293385665946835,0.026330764644927247,0.031078573553816952,0.06035345760760755,0.02763905619371867,0.0038299371474520773
spaventato,0.00568581885420962,0.011104033209992039,0.10749452497402359,0.04190494764630798,0.019898380828189496,0.09664833702601379,0.05657792862464802,0.025370132298139884,0.05487521781668644,0.08321780334595918,0.01745164469228472,0.0,0.017067686209413468,0.03901626803592099,0.033230933686104365,0.042930459943015246,0.02456394199407307,0.02081012032880821
arrabbiato,0.016588528686681862,0.0059682161134265626,0.12363320289605483,0.030174243711302035,0.03188163955383435,0.11298648918892959,0.06824348562997753,0.03563028430155962,0.04891707096367399,0.07640467737988592,0.014293385665946835,0.017067686209413468,0.0,0.040511495806616046,0.04359948762212633,0.054957694702619395,0.013385353621626092,0.014421195087026762
stressato,0.044342700280064866,0.03934450096144514,0.1057967046996128,0.031208244122788276,0.025862367606039275,0.11886334891950388,0.03969949126857871,0.06383998548047753,0.023509558291783087,0.0490898955421537,0.026330764644927247,0.03901626803592099,0.040511495806616046,0.0,0.02177206530165301,0.07920449985233705,0.0538966675709167,0.02639725315749879
stupito,0.038810582672412566,0.03959163326801987,0.0862855213312129,0.04830068620080967,0.01338103263780227,0.09759723072806632,0.024692866189573896,0.053386894862547524,0.04527996815580625,0.06997222457115741,0.031078573553816952,0.033230933686104365,0.04359948762212633,0.02177206530165301,0.0,0.06491206798365823,0.05559050930446863,0.0336887290932694
assonnato,0.039654761862282686,0.05029714390623884,0.1036022277978276,0.0840674646776716,0.05411756727478809,0.06596736646893277,0.0797440367656754,0.019429470172477748,0.09756238615304608,0.1258610366182661,0.06035345760760755,0.042930459943015246,0.054957694702619395,0.07920449985233705,0.06491206798365823,0.0,0.05156276655016242,0.06355086407504143
allarmato,0.020861132638122937,0.016013148580920383,0.13169036587986446,0.040182623116329676,0.04300491900496166,0.11410082186433772,0.07994304147510856,0.03253566153288173,0.06104148245671605,0.0877423855382628,0.02763905619371867,0.02456394199407307,0.013385353621626092,0.0538966675709167,0.05559050930446863,0.05156276655016242,0.0,0.027717469798788506
disgustato,0.024078997671333518,0.015027527414349803,0.11817027057812352,0.021320132384232193,0.024966592831338293,0.11582377672941142,0.0581096393410273,0.04518891933078256,0.035595658872741395,0.06369238562597596,0.0038299371474520773,0.02081012032880821,0.014421195087026762,0.02639725315749879,0.0336887290932694,0.06355086407504143,0.027717469798788506,0.0
