,sorpreso,entusiasta,sereno,allegro,soddisfatto,calmo,stanco,annoiato,depresso,triste,frustrato,spaventato,arrabbiato,stressato,stupito,assonnato,allarmato,disgustato
sorpreso,0.0,0.4463610997042984,0.6604087443615355,0.6745839779385974,0.4103885661855087,0.63362534549272,0.5586405216624684,0.5204933076811276,0.6444089907003349,0.6360626143985109,0.5087251547883821,0.3629923732861209,0.47098273811579683,0.6061501351095839,0.19159571370951045,0.6279917401957821,0.45668074896991806,0.4542881394256284
entusiasta,0.4463610997042984,0.0,0.6696295038387963,0.5640410050984237,0.33455241776738975,0.6566308272312998,0.5546512532596601,0.554348269300415,0.721021462914929,0.6388185890012286,0.6176361483126078,0.5519247073209184,0.5500327114361268,0.6730530677780174,0.3614550113506596,0.6966974350667726,0.6003878437481115,0.5485440383911564
sereno,0.6604087443615355,0.6696295038387963,0.0,0.4525962884479652,0.6312708557767706,0.3569667605979483,0.5588550953496624,0.6561231471344843,0.6251268904405376,0.5864539048972166,0.6889370764238195,0.6745417583143041,0.6007366744120556,0.6249694283647647,0.6825158238747563,0.6270225394618468,0.7698089552631973,0.7940493895066643
allegro,0.6745839779385974,0.5640410050984237,0.4525962884479652,0.0,0.6855900122287726,0.42719653867448504,0.5842034979116226,0.5861338491419683,0.634351440256419,0.5417096713432518,0.732034938593105,0.6292334763619054,0.5475355693837411,0.6629201715620978,0.683050565276529,0.6053463699939585,0.7181835249079278,0.7606963670487609
soddisfatto,0.4103885661855087,0.33455241776738975,0.6312708557767706,0.6855900122287726,0.0,0.6411504913987081,0.47374240580004123,0.524778034202727,0.6176008699630912,0.6579711533197932,0.48964733108869396,0.5578567738061992,0.5153301257364356,0.5620686852264574,0.38995315010329934,0.6415095829407493,0.62465475255454,0.4971388469706849
calmo,0.63362534549272,0.6566308272312998,0.3569667605979483,0.42719653867448504,0.6411504913987081,0.0,0.5192679063463225,0.6213080403982616,0.6010507319650827,0.6621361095006294,0.6695548821573539,0.5996388243363118,0.4982725694627752,0.5910344403247432,0.6393099225759732,0.5907606664443691,0.661642605800054,0.7161938519329065
stanco,0.5586405216624684,0.5546512532596601,0.5588550953496624,0.5842034979116226,0.47374240580004123,0.5192679063463225,0.0,0.335320548108091,0.418381325662854,0.4886397584037452,0.4045432359390626,0.4563093402250632,0.39896558143946526,0.36886394524898747,0.5687912135273436,0.43041470901664125,0.620325035885858,0.4738582386770107
annoiato,0.5204933076811276,0.554348269300415,0.6561231471344843,0.5861338491419683,0.524778034202727,0.6213080403982616,0.335320548108091,0.0,0.44499360339207006,0.5149692950385865,0.35996816341900917,0.41336878521138487,0.43386314235109324,0.4331772801666255,0.482194331572513,0.49442501862205857,0.5944158500618437,0.4066597871210301
depresso,0.6444089907003349,0.721021462914929,0.6251268904405376,0.634351440256419,0.6176008699630912,0.6010507319650827,0.418381325662854,0.44499360339207006,0.0,0.49690583672553834,0.37053116913525075,0.484355944454559,0.43516784187392954,0.3810815426829859,0.6976111148286798,0.5842777796209336,0.5942461948077389,0.5447137079552825
triste,0.6360626143985109,0.6388185890012286,0.5864539048972166,0.5417096713432518,0.6579711533197932,0.6621361095006294,0.4886397584037452,0.5149692950385865,0.49690583672553834,0.0,0.5637148238530456,0.5910706826764,0.5339630621846521,0.6597443201009026,0.6059693337030254,0.6776293470892578,0.6402148951133318,0.5652212499520883
frustrato,0.5087251547883821,0.6176361483126078,0.6889370764238195,0.732034938593105,0.48964733108869396,0.6695548821573539,0.4045432359390626,0.35996816341900917,0.37053116913525075,0.5637148238530456,0.0,0.42336936542519665,0.3872485444916187,0.4347049715926543,0.5880974787131859,0.5840687941141615,0.575408254466228,0.4049947649036273
spaventato,0.3629923732861209,0.5519247073209184,0.6745417583143041,0.6292334763619054,0.5578567738061992,0.5996388243363118,0.4563093402250632,0.41336878521138487,0.484355944454559,0.5910706826764,0.42336936542519665,0.0,0.30179395362083405,0.47752224805449484,0.3711673893248868,0.5168620743988448,0.2966941368289746,0.43325530380023913
