,index,Valence,Arousal,z_valence,z_arousal,Condition,fill_color
0,green,0.20101493036503731,-0.35466889515533306,0.46124202823366633,-0.22835494097265216,Color,green
1,orange,0.1764470465571541,-0.27610721209256806,0.004869433026748327,1.4312914656385782,Color,orange
2,yellow,0.09157639970777769,-0.38683216333116877,-1.571686271258674,-0.9078166120044788,Color,yellow
3,blue,0.26254740416797157,-0.39293358133702516,1.6042682236740762,-1.036711463462314,Color,blue
4,purple,0.19271082685206958,-0.3702738044427358,0.30698514144946853,-0.5580147778633795,Color,purple
5,red,0.13281285597959758,-0.282340712164537,-0.8056785551252875,1.2996063286642485,Color,red
6,surprised,0.14209035285379557,-0.33811788350062766,0.4912248909339162,-1.60431104618292,Emotion,#3c00a2
7,excited,0.23259668075379175,-0.282427211619998,1.9474753693179887,-0.8558528713959178,Emotion,#00277f
8,serene,0.12273274822987935,-0.2399061489139833,0.17976024920085015,-0.28438846078217356,Emotion,#7f7f7f
9,happy,0.10579223497216712,-0.2816593088169788,-0.09281329463879774,-0.8455325949303455,Emotion,#7f4d7f
10,satisfied,0.11897111653909455,-0.18545985037491236,0.11923544307610302,0.4473458827324574,Emotion,#7fa700
11,calm,0.19848614955910873,-0.16345374645468355,1.3986355420621746,0.743098255941594,Emotion,#526400
12,tired,0.03434320293579083,-0.261541578711864,-1.2424311113954123,-0.5751591365600403,Emotion,#a87f29
13,bored,0.09599126596569311,-0.16990966541214508,-0.2505112825637486,0.6563335401229089,Emotion,#ff6500
14,depressed,0.1360827130950253,-0.08960954049410418,0.39456172410722673,1.7355319570525785,Emotion,#e37f00
15,sad,-0.004976217419682816,-0.30995902057458385,-1.8750821760337928,-1.2258682937794478,Emotion,#9b7f1c
16,frustrated,0.15858904437160157,-0.24261005336985764,0.7566895050994993,-0.3207277493111392,Emotion,#7d7f7d
17,afraid,0.011022739215625209,-0.2834275836868372,-1.6176583163501173,-0.8692974326836542,Emotion,#a07f20
18,angry,0.08919872824946985,-0.18884130499628338,-0.3598034892879195,0.40190061750992173,Emotion,#7f3d00
19,stressed,0.030004470976983173,-0.18655166125831257,-1.3122414841858676,0.43267242390341176,Emotion,#dc5d00
20,astonished,0.12009535076155703,-0.24726249330510552,0.13732441720933378,-0.38325449902796127,Emotion,#7f7f7f
21,sleepy,0.15536362130451903,-0.10763100129579829,0.7047923174286008,1.493331437591383,Emotion,#d37500
22,alarmed,0.17317856958747646,-0.07792121999430078,0.9914355562097575,1.8926178519105137,Emotion,#b84b00
23,disgusted,0.08852810402547544,-0.281131559965189,-0.37059386018979606,-0.8384398821111648,Emotion,#573e57
