,index,Valence,Arousal,z_valence,z_arousal,Condition,fill_color
0,verde,-0.04921402053069431,-0.038444828522741385,0.8907886500025516,-0.81029555108409,Color,green
1,arancione,-0.05063060654022119,0.023299783889039916,0.8686478179552223,0.6409317426860808,Color,orange
2,giallo,-0.08293293815230289,-0.037839127372937355,0.3637716620773962,-0.7960593285842001,Color,yellow
3,blu,-0.23466531309883593,-0.01621714074715046,-2.0077617338761766,-0.2878624849857727,Color,blue
4,viola,-0.13391863128801001,0.07841546595068481,-0.43312006277550785,1.9363545981926822,Color,purple
5,rosso,-0.08588232032987987,-0.03303178565420257,0.31767366661651447,-0.6830689762247002,Color,red
6,sorpreso,-0.0019287633836824127,-0.01539989755881616,0.5840454488530843,0.2705352324697384,Emotion,#ff7f00
7,entusiasta,-0.008552913345500533,-0.006559280164478177,0.361789445314793,0.5157050214259826,Emotion,#e97f00
8,sereno,-0.03017247620883754,-0.12258513114491346,-0.36359836564160297,-2.701947335813272,Emotion,#7a3e00
9,allegro,-0.03703750000024146,0.01182587234348122,-0.5939362596910217,1.0255657878461661,Emotion,#993645
10,soddisfatto,-0.023060088282726432,-0.0295695624191356,-0.12496081589060382,-0.12242077822812884,Emotion,#ff7f00
11,calmo,0.03562360485461339,-0.10423088840237656,1.8440168166738558,-2.192943765257053,Emotion,#3e6400
12,stanco,-0.047073470042260666,-0.05769845104479219,-0.9306669505760735,-0.9024968046312994,Emotion,#640066
13,annoiato,0.01736379800608779,-0.023997563072730838,1.2313568197041418,0.03210303418086677,Emotion,#7fba00
14,depresso,-0.0584160962455826,0.0020745323498355278,-1.3112390668642,0.7551396556380406,Emotion,#2b0091
15,triste,-0.08488761392046644,0.01220178835497728,-2.1994215144122475,1.0359907666788424,Emotion,#20007f
16,frustrato,-0.021812841122030108,-0.008067045612834788,-0.08311270391266165,0.4738913651754749,Emotion,#e75500
17,spaventato,-0.007180763217314712,-0.01757820740601694,0.4078283492500884,0.2101259033813013,Emotion,#ff7f00
18,arrabbiato,-0.00957661369133797,-0.0006795147628233096,0.32744186124769753,0.6787638643026342,Emotion,#dd7f00
19,stressato,-0.04619465635733494,-0.01800868796297033,-0.9011806589624789,0.19818772954226338,Emotion,#540069
20,stupito,-0.03455981503191811,-0.03641122297399034,-0.5108040295542357,-0.31215509196715313,Emotion,#ff7f00
21,assonnato,0.0303193700295725,-0.03847711640587968,1.6660471087358664,-0.3694468662980713,Emotion,#638700
22,allarmato,0.0025565160482895312,0.004973347724213599,0.7345372533938391,0.8355301896763715,Emotion,#d07f00
23,disgustato,-0.023452964179214834,-0.004606060939259259,-0.13814273766824262,0.5698720918772947,Emotion,#dd5100
