,index,Valence,Arousal,z_valence,z_arousal,Condition,fill_color
0,verde,0.06877999788607152,-0.06984848767811826,1.8279337329174798,-1.405184925231738,Color,green
1,arancione,-0.0034686748475032756,0.016969927933119005,0.2113733004829273,0.42249840746479156,Color,orange
2,giallo,0.002803309699683403,0.01549854206259575,0.3517086404719649,0.3915230963791508,Color,yellow
3,blu,-0.06379263274762317,-0.06699218749542465,-1.1383722350342136,-1.3450546844258755,Color,blue
4,viola,-0.02067625825349109,0.046249328943688266,-0.17364551604974465,1.0388823029966157,Color,purple
5,rosso,-0.061139026258091846,0.039525602430969885,-1.0789979227884134,0.8973358028170553,Color,red
6,sorpreso,0.10566692361462217,-0.011346699311442363,0.3363628962922964,0.47283093450528063,Emotion,#ffff00
7,entusiasta,0.1692698110703537,0.008931081833530453,0.9963977324065411,0.6475423463841833,Emotion,#ffe400
8,sereno,0.30906783328607473,-0.297989593046292,2.4471426336733466,-1.9968566664917078,Emotion,#287200
9,allegro,0.18967220302261162,-0.17648769010502055,1.2081222305737016,-0.9500079576966802,Emotion,#50a300
10,soddisfatto,0.1160018476301411,0.0008243155411459813,0.4436128994243712,0.5776952277774258,Emotion,#ffff00
11,calmo,0.21304445765526897,-0.4131849499368008,1.4506662859331922,-2.9893687811233636,Emotion,#002729
12,stanco,0.06226519946673903,-0.05496064854120573,-0.11403567885041492,0.09705734305216321,Emotion,#ffff00
13,annoiato,0.010475455584065992,-0.03287119188279435,-0.6514803843253144,0.28737797689457245,Emotion,#ff5e00
14,depresso,-0.029961057882021084,-0.01785897499765687,-1.0711076780892412,0.4167217935914455,Emotion,#ba003a
15,triste,0.046667157944209496,-0.13007412166967938,-0.27590334228301616,-0.5501131164562777,Emotion,#e5bc00
16,frustrato,-0.019945184565422512,0.04177768505485677,-0.9671686028756609,0.9305455203111663,Emotion,#cf004f
17,spaventato,0.00394873764034539,-0.009647896556948832,-0.71921097613761,0.4874676556346491,Emotion,#d20052
18,arrabbiato,0.013184714596172997,-0.045940223198573354,-0.6233652247849286,0.1747764601534071,Emotion,#ff5e00
19,stressato,-0.0021984551266504043,-0.014216143318316674,-0.7830030700633883,0.4481080809462879,Emotion,#ca004b
20,stupito,0.15124610798178226,-0.012494487103203097,0.8093579235218106,0.4629417052941447,Emotion,#ffff00
21,assonnato,0.024771642892814215,-0.06403083799559993,-0.5031226284929907,0.018909463150657828,Emotion,#ffe400
22,allarmato,0.004499006055823723,0.02565606287340488,-0.7135006013738562,0.791643174292012,Emotion,#eb006b
23,disgustato,-0.04910420209202689,0.011854337935750775,-1.2697644145488363,0.6727288397806341,Emotion,#b60037
