Response,Emotions,Zone Type,Participant External Session ID,Reaction Time,Task Name,Participant Private ID
BLUE,AFRAID,response_markdown,61dbbecf66794c4b2741168b,227.7000002861023,3_ Emotion & Color Association Phase_patch_ENGLISH,5444186.0
LIMEGREEN,CALM,response_markdown,61dbbecf66794c4b2741168b,684.8000001907349,3_ Emotion & Color Association Phase_patch_ENGLISH,5444186.0
YELLOW,SURPRISED,response_markdown,61dbbecf66794c4b2741168b,1537.5999999046326,3_ Emotion & Color Association Phase_patch_ENGLISH,5444186.0
RED,ALARMED,response_markdown,61dbbecf66794c4b2741168b,437.2999997138977,3_ Emotion & Color Association Phase_patch_ENGLISH,5444186.0
YELLOW,HAPPY,response_markdown,61dbbecf66794c4b2741168b,422.59999990463257,3_ Emotion & Color Association Phase_patch_ENGLISH,5444186.0
PURPLE,DEPRESSED,response_markdown,61dbbecf66794c4b2741168b,901.6000003814696,3_ Emotion & Color Association Phase_patch_ENGLISH,5444186.0
MAGENTA,STRESSED,response_markdown,61dbbecf66794c4b2741168b,497.19999980926514,3_ Emotion & Color Association Phase_patch_ENGLISH,5444186.0
CYAN,BORED,response_markdown,61dbbecf66794c4b2741168b,658.4000000953674,3_ Emotion & Color Association Phase_patch_ENGLISH,5444186.0
LIGHTBLUE,SAD,response_markdown,61dbbecf66794c4b2741168b,448.0,3_ Emotion & Color Association Phase_patch_ENGLISH,5444186.0
PURPLE,SATISFIED,response_markdown,61dbbecf66794c4b2741168b,1136.0999999046326,3_ Emotion & Color Association Phase_patch_ENGLISH,5444186.0
CYAN,SERENE,response_markdown,61dbbecf66794c4b2741168b,465.0,3_ Emotion & Color Association Phase_patch_ENGLISH,5444186.0
ORANGE,DISGUSTED,response_markdown,61dbbecf66794c4b2741168b,837.2999997138977,3_ Emotion & Color Association Phase_patch_ENGLISH,5444186.0
LIGHTBLUE,SLEEPY,response_markdown,61dbbecf66794c4b2741168b,1000.0,3_ Emotion & Color Association Phase_patch_ENGLISH,5444186.0
RED,ANGRY,response_markdown,61dbbecf66794c4b2741168b,557.9000000953674,3_ Emotion & Color Association Phase_patch_ENGLISH,5444186.0
RGBGREEN,ASTONISHED,response_markdown,61dbbecf66794c4b2741168b,745.6999998092651,3_ Emotion & Color Association Phase_patch_ENGLISH,5444186.0
BLUE,TIRED,response_markdown,61dbbecf66794c4b2741168b,1606.7999997138977,3_ Emotion & Color Association Phase_patch_ENGLISH,5444186.0
RGBGREEN,EXCITED,response_markdown,61dbbecf66794c4b2741168b,1684.9000000953674,3_ Emotion & Color Association Phase_patch_ENGLISH,5444186.0
BLUE,SLEEPY,response_markdown,61dbbf37efb23fd523bf54d5,461.2000000476837,3_ Emotion & Color Association Phase_patch_ENGLISH,5444192.0
LIGHTBLUE,TIRED,response_markdown,61dbbf37efb23fd523bf54d5,160.0,3_ Emotion & Color Association Phase_patch_ENGLISH,5444192.0
RED,ANGRY,response_markdown,61dbbf37efb23fd523bf54d5,780.3000000119209,3_ Emotion & Color Association Phase_patch_ENGLISH,5444192.0
BLUE,SAD,response_markdown,61dbbf37efb23fd523bf54d5,712.9000000357628,3_ Emotion & Color Association Phase_patch_ENGLISH,5444192.0
RED,STRESSED,response_markdown,61dbbf37efb23fd523bf54d5,510.60000002384186,3_ Emotion & Color Association Phase_patch_ENGLISH,5444192.0
BLUE,CALM,response_markdown,61dbbf37efb23fd523bf54d5,759.0,3_ Emotion & Color Association Phase_patch_ENGLISH,5444192.0
BLUE,DEPRESSED,response_markdown,61dbbf37efb23fd523bf54d5,642.5,3_ Emotion & Color Association Phase_patch_ENGLISH,5444192.0
RED,ALARMED,response_markdown,61dbbf37efb23fd523bf54d5,177.0,3_ Emotion & Color Association Phase_patch_ENGLISH,5444192.0
RED,DISGUSTED,response_markdown,61dbbf37efb23fd523bf54d5,3931.899999976158,3_ Emotion & Color Association Phase_patch_ENGLISH,5444192.0
LIMEGREEN,EXCITED,response_markdown,61dbbf37efb23fd523bf54d5,1964.0,3_ Emotion & Color Association Phase_patch_ENGLISH,5444192.0
GREEN,SURPRISED,response_markdown,61dbbf37efb23fd523bf54d5,459.3000000119209,3_ Emotion & Color Association Phase_patch_ENGLISH,5444192.0
MAGENTA,HAPPY,response_markdown,61dbbf37efb23fd523bf54d5,543.5,3_ Emotion & Color Association Phase_patch_ENGLISH,5444192.0
ORANGE,BORED,response_markdown,61dbbf37efb23fd523bf54d5,2211.0,3_ Emotion & Color Association Phase_patch_ENGLISH,5444192.0
RED,ASTONISHED,response_markdown,61dbbf37efb23fd523bf54d5,712.6000000238419,3_ Emotion & Color Association Phase_patch_ENGLISH,5444192.0
CYAN,SERENE,response_markdown,61dbbf37efb23fd523bf54d5,444.2999999523163,3_ Emotion & Color Association Phase_patch_ENGLISH,5444192.0
RED,FRUSTRATED,response_markdown,61dbbf37efb23fd523bf54d5,178.30000001192093,3_ Emotion & Color Association Phase_patch_ENGLISH,5444192.0
