Response,Attempt,emotion terms,emotion terms2,Zone Type,Participant External Session ID,Reaction Time,Task Name,Participant Private ID
2.0,1.0,BORED,ANGRY,response_keyboard,5fa27ea9bddd8f4538acf471,1741.175000090152,2_2_ Emotion Testing Phase_ITALIAN,2242484.0
1.0,1.0,SURPRISED,DEPRESSED,response_keyboard,5fa27ea9bddd8f4538acf471,467.8100000601262,2_2_ Emotion Testing Phase_ITALIAN,2242484.0
5.0,1.0,TIRED,FRUSTRATED,response_keyboard,5fa27ea9bddd8f4538acf471,427.214999916032,2_2_ Emotion Testing Phase_ITALIAN,2242484.0
4.0,1.0,TIRED,SAD,response_keyboard,5fa27ea9bddd8f4538acf471,338.16999988630414,2_2_ Emotion Testing Phase_ITALIAN,2242484.0
7.0,1.0,DEPRESSED,SAD,response_keyboard_single,5fa27ea9bddd8f4538acf471,2233.5399999283254,2_2_ Emotion Testing Phase_ITALIAN,2242484.0
3.0,1.0,SURPRISED,SATISFIED,response_keyboard,5fa27ea9bddd8f4538acf471,540.0149999186397,2_2_ Emotion Testing Phase_ITALIAN,2242484.0
1.0,1.0,DEPRESSED,HAPPY,response_keyboard,5fa27ea9bddd8f4538acf471,622.3750000353903,2_2_ Emotion Testing Phase_ITALIAN,2242484.0
4.0,1.0,AFRAID,STRESSED,response_keyboard,5fa27ea9bddd8f4538acf471,1500.7549999281766,2_2_ Emotion Testing Phase_ITALIAN,2242484.0
2.0,1.0,ASTONISHED,FRUSTRATED,response_keyboard,5fa27ea9bddd8f4538acf471,484.17999991215765,2_2_ Emotion Testing Phase_ITALIAN,2242484.0
3.0,1.0,DISGUSTED,TIRED,response_keyboard,5fa27ea9bddd8f4538acf471,675.4050001036376,2_2_ Emotion Testing Phase_ITALIAN,2242484.0
1.0,1.0,EXCITED,CALM,response_keyboard,5fa27ea9bddd8f4538acf471,3439.379999879748,2_2_ Emotion Testing Phase_ITALIAN,2242484.0
1.0,1.0,STRESSED,SERENE,response_keyboard,5fa27ea9bddd8f4538acf471,476.8049998674542,2_2_ Emotion Testing Phase_ITALIAN,2242484.0
2.0,1.0,DISGUSTED,CALM,response_keyboard,5fa27ea9bddd8f4538acf471,365.7899999525398,2_2_ Emotion Testing Phase_ITALIAN,2242484.0
1.0,1.0,DISGUSTED,SATISFIED,response_keyboard,5fa27ea9bddd8f4538acf471,324.3450000882149,2_2_ Emotion Testing Phase_ITALIAN,2242484.0
3.0,1.0,CALM,HAPPY,response_keyboard,5fa27ea9bddd8f4538acf471,333.2400000654161,2_2_ Emotion Testing Phase_ITALIAN,2242484.0
2.0,1.0,FRUSTRATED,SURPRISED,response_keyboard,5fa27ea9bddd8f4538acf471,370.714999968186,2_2_ Emotion Testing Phase_ITALIAN,2242484.0
2.0,1.0,HAPPY,TIRED,response_keyboard,5fa27ea9bddd8f4538acf471,430.68500002846116,2_2_ Emotion Testing Phase_ITALIAN,2242484.0
